id,content,status,createdAt,updatedAt,rfqId,rfqQuotesUserId,userId,roomId,orderProductId
24,Deal! Send updated quote.,UNREAD,2026-04-03 21:42:47.731,2026-04-03 21:42:47.731,1,,5,7,
23,"420 OMR per unit, best price!",READ,2026-04-03 21:42:47.708,2026-04-03 21:42:47.851,1,,6,7,
25,Socket test message!,UNREAD,2026-04-03 21:42:50.959,2026-04-03 21:42:50.959,1,,5,7,
26,"Hello seller, need 10 iPads",UNREAD,2026-04-03 21:43:37.01,2026-04-03 21:43:37.01,1,,5,9,
28,Deal! Send updated quote.,UNREAD,2026-04-03 21:43:37.058,2026-04-03 21:43:37.058,1,,5,9,
27,"420 OMR per unit, best price!",READ,2026-04-03 21:43:37.032,2026-04-03 21:43:37.171,1,,6,9,
29,Socket test message!,UNREAD,2026-04-03 21:43:37.253,2026-04-03 21:43:37.253,1,,5,9,
30,E2E integration test message,UNREAD,2026-04-03 22:08:52.89,2026-04-03 22:08:52.89,1,,5,13,
31,E2E integration test message,UNREAD,2026-04-03 22:08:54.885,2026-04-03 22:08:54.885,1,,5,14,
32,E2E integration test message,UNREAD,2026-04-03 22:11:06.58,2026-04-03 22:11:06.58,1,,5,15,
33,E2E integration test message,UNREAD,2026-04-03 22:11:08.586,2026-04-03 22:11:08.586,1,,5,16,
34,Global setup message,UNREAD,2026-04-03 22:14:50.196,2026-04-03 22:14:50.196,1,,5,17,
35,Global setup message,UNREAD,2026-04-03 22:15:17.871,2026-04-03 22:15:17.871,1,,5,19,
36,Global setup message,UNREAD,2026-04-03 22:15:59.16,2026-04-03 22:15:59.16,1,,5,20,
37,Global setup message,UNREAD,2026-04-03 22:16:29.899,2026-04-03 22:16:29.899,1,,5,22,
38,"Hello seller, need 10 iPads",UNREAD,2026-04-03 22:17:10.732,2026-04-03 22:17:10.732,1,,5,24,
40,Deal! Send updated quote.,UNREAD,2026-04-03 22:17:10.763,2026-04-03 22:17:10.763,1,,5,24,
39,"420 OMR per unit, best price!",READ,2026-04-03 22:17:10.749,2026-04-03 22:17:10.863,1,,6,24,
41,Socket test message!,UNREAD,2026-04-03 22:17:10.94,2026-04-03 22:17:10.94,1,,5,24,
42,connection-test-1775254928404,UNREAD,2026-04-03 22:22:08.41,2026-04-03 22:22:08.41,999,,5,26,
43,connection-test-1775254954020,UNREAD,2026-04-03 22:22:34.025,2026-04-03 22:22:34.025,999,,5,28,
44,connection-test-1775255048023,UNREAD,2026-04-03 22:24:08.029,2026-04-03 22:24:08.029,999,,5,30,
45,connection-test-1775255111230,UNREAD,2026-04-03 22:25:11.235,2026-04-03 22:25:11.235,999,,5,32,
46,connection-test-1775255176472,UNREAD,2026-04-03 22:26:16.476,2026-04-03 22:26:16.476,999,,5,34,
47,connection-test-1775255207318,UNREAD,2026-04-03 22:26:47.322,2026-04-03 22:26:47.322,999,,5,36,
48,connection-test-1775255263088,UNREAD,2026-04-03 22:27:43.093,2026-04-03 22:27:43.093,999,,5,38,
49,socket-roundtrip-1775255263165,UNREAD,2026-04-03 22:27:43.166,2026-04-03 22:27:43.166,998,,5,39,
50,connection-test-1775255277767,UNREAD,2026-04-03 22:27:57.772,2026-04-03 22:27:57.772,999,,5,40,
51,socket-roundtrip-1775255277837,UNREAD,2026-04-03 22:27:57.838,2026-04-03 22:27:57.838,998,,5,41,
52,connection-test-1775255292591,UNREAD,2026-04-03 22:28:12.598,2026-04-03 22:28:12.598,999,,5,42,
53,socket-roundtrip-1775255292707,UNREAD,2026-04-03 22:28:12.709,2026-04-03 22:28:12.709,998,,5,43,
54,connection-test-1775255307635,UNREAD,2026-04-03 22:28:27.64,2026-04-03 22:28:27.64,999,,5,44,
55,socket-roundtrip-1775255307707,UNREAD,2026-04-03 22:28:27.709,2026-04-03 22:28:27.709,998,,5,45,
56,connection-test-1775255322265,UNREAD,2026-04-03 22:28:42.271,2026-04-03 22:28:42.271,999,,5,46,
57,socket-roundtrip-1775255322336,UNREAD,2026-04-03 22:28:42.337,2026-04-03 22:28:42.337,998,,5,47,
58,connection-test-1775255959895,UNREAD,2026-04-03 22:39:19.9,2026-04-03 22:39:19.9,999,,5,48,
59,socket-roundtrip-1775255959971,UNREAD,2026-04-03 22:39:19.972,2026-04-03 22:39:19.972,998,,5,49,
